Concept URI,Sprememba
http://data.europa.eu/esco/skill/a550c4e9-5773-47a2-861d-e57ceb076eb6,"  - Staro: determine boundaries
  + Novo: determine property boundaries"
http://data.europa.eu/esco/skill/65227f84-5d33-44a4-ad4b-1e8571b415c0,"  - Staro: maintain operational standards
  + Novo: ensure gambling operational standards"
http://data.europa.eu/esco/skill/a0cad388-3c4c-4786-b238-fc39f8c495af,"  - Staro: Assertiveness
  + Novo: assertiveness"
http://data.europa.eu/esco/skill/87a765a4-1039-462a-833d-e1807cac5d45,"  - Staro: observe documents
  + Novo: review civil documentation"
http://data.europa.eu/esco/skill/d39022ab-d102-4720-b689-540d6f056b17,  + Dodano: public administration
http://data.europa.eu/esco/skill/2eea3fd6-82ee-4334-8e36-62a0707cade1,  + Dodano: design building air tightness
http://data.europa.eu/esco/skill/c291acb4-6992-46ff-bf72-681eb378daa5,  - Odstranjeno: work as a team
http://data.europa.eu/esco/skill/6c6daac0-80f5-431f-a33f-c5b722094657,  + Dodano: energy storage systems
http://data.europa.eu/esco/skill/6df314cf-be4c-4de4-aa4c-3b562e5d84d2,  - Odstranjeno: assess mortgage risk
http://data.europa.eu/esco/skill/93e65de1-923c-437e-aa5b-e6002967ce71,  + Dodano: web based collaborative platforms
http://data.europa.eu/esco/skill/77ac0804-a866-4055-a56a-5e232beb15de,  + Dodano: adapt evaluation methodology 
http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,  + Dodano: manage temporary ICT networks for live performance
http://data.europa.eu/esco/skill/2ee57de4-bffd-4194-b009-0060edec77cc,  - Odstranjeno: use welding equipment
http://data.europa.eu/esco/skill/3fd9ab30-9000-431d-b772-8bd3bcb0b3e0,"  - Staro: perform repertoire for therapeutic purposes
  + Novo: perform therapeutic musical repertoire"
http://data.europa.eu/esco/skill/bc70f963-c1c0-49a5-b940-3e28e163db45,  + Dodano: plan measures to safeguard cultural heritage
http://data.europa.eu/esco/skill/b55f1863-706b-4587-a756-5100c3c7ce5c,"  - Staro: diagnose conservation issues
  + Novo: examine conservation issues"
http://data.europa.eu/esco/skill/2d78d7e4-767a-436d-90cb-e0775ed613ee,  - Odstranjeno: act as a watchstander
http://data.europa.eu/esco/skill/7e7bbf72-2bfb-49c2-a341-04c02932f916,  + Dodano: define risk policies
http://data.europa.eu/esco/skill/17a0c89d-1c78-4543-a637-ce2a03dbea18,"  - Staro: manage insect breeding
  + Novo: breed insects "
http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37,"  - Staro: Hybrid model
  + Novo: hybrid model"
http://data.europa.eu/esco/skill/89839842-a111-411f-b64a-94354d6118e0,  + Dodano: quantum technology
http://data.europa.eu/esco/skill/6816e28f-a48d-41c7-8492-309f50c049fc,  - Odstranjeno: follow hygienic work practices
http://data.europa.eu/esco/skill/2f7b5fa1-5fa5-4bfc-b9c8-c0cef15b8b60,  + Dodano: install smart devices
http://data.europa.eu/esco/skill/7c821387-b428-4f75-b5a7-7b038aa81cfd,"  - Staro: manage a warehouse management system
  + Novo: use a warehouse management system"
http://data.europa.eu/esco/skill/e883d55a-75ae-460b-ba0a-47fecf14f1b3,"  - Staro: store warehouse goods with precision
  + Novo: store warehouse goods"
http://data.europa.eu/esco/skill/c4ba511c-dc24-44bc-8bc5-10b2d4a191fb,  + Dodano: blockchain design patterns
http://data.europa.eu/esco/skill/cad6cbf5-fd1c-40af-8c56-605964d044b5,"  - Staro: create garden areas in cemeteries
  + Novo: create garden areas "
http://data.europa.eu/esco/skill/b957fa5e-2efe-44ab-ac14-13371e7554d2,"  - Staro: calculate concentrations
  + Novo: calculate chemical concentration"
http://data.europa.eu/esco/skill/912f7556-6b75-4d73-9658-4e710050199d,"  - Staro: manage animal hygiene
  + Novo: apply animal hygiene practices"
http://data.europa.eu/esco/skill/7b8d575c-7496-413f-9747-788afe0debb6,"  - Staro: advise customers on alcoholic beverages' harmony with food
  + Novo: advise customers on food and drinks pairing"
http://data.europa.eu/esco/skill/af8e3dfa-fed8-4ff2-9202-e8e792d2af3e,  - Odstranjeno: evaluate casino workers
http://data.europa.eu/esco/skill/b8df1689-6763-437d-bfca-fe03d43f36c3,  + Dodano: Computer Assisted Language Learning
http://data.europa.eu/esco/skill/222bcd83-1ac6-4c2f-93c9-39ac835067f1,  - Odstranjeno: manage vehicle inventory
http://data.europa.eu/esco/skill/96a893b6-4520-4daa-89c1-b79487505da2,  + Dodano: key risk indicators
http://data.europa.eu/esco/skill/dff0087d-25e4-40bf-979e-32fdf2445438,  + Dodano: develop food waste reduction strategies
http://data.europa.eu/esco/skill/5e433def-210d-4dfa-bf07-dbf6d04e0eaa,  - Odstranjeno: dispose waste
http://data.europa.eu/esco/skill/09f07c6a-866b-4587-a771-45b0cd613540,"  - Staro: execute advertising measures for the vehicles
  + Novo: execute advertising for vehicles"
http://data.europa.eu/esco/skill/e361af91-3e68-4e59-b0e2-bca0ffb416fa,  + Dodano: marine energy
http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,  + Dodano: machine learning
http://data.europa.eu/esco/skill/302b1e10-cc51-44df-8b8b-d956ab1be803,"  - Staro: create breakdown notices
  + Novo: create casting breakdown notices"
http://data.europa.eu/esco/skill/e8a65528-0fe8-499d-8fcc-f2a447c917a6,  - Odstranjeno: assess sportive performance
http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048,  + Dodano: marketing analytics
http://data.europa.eu/esco/skill/a90fa5ff-5b4f-4152-8160-ad80a6d3d13e,"  - Staro: assess others
  + Novo: assess others feelings"
http://data.europa.eu/esco/skill/67bd66ec-5935-4cd2-8bf8-f1eff5237d19,  - Odstranjeno: provide opportunities for animals to express natural behaviour
http://data.europa.eu/esco/skill/701f0a7d-1be9-4e98-b985-2652b2bf327a,  + Dodano: risk financing techniques
http://data.europa.eu/esco/skill/1f1da04a-897e-4347-b465-1058a3e9b93c,  + Dodano: manage ethics issues in the food industry
http://data.europa.eu/esco/skill/26a29613-b018-4fc5-b0b5-6f73483afe62,  - Odstranjeno: ask key questions about requirements of the artistic work
http://data.europa.eu/esco/skill/16c2b3fb-3a41-4b0e-bb35-06e659917b02,  + Dodano: conduct contact tracing interviews
http://data.europa.eu/esco/skill/fae7e545-5114-43cc-8e83-178e2549ecb9,  + Dodano: building information modelling
http://data.europa.eu/esco/skill/22b7d99d-252f-4572-8e3c-438ea87607eb,  - Odstranjeno: demonstrate enthusiasm
http://data.europa.eu/esco/skill/1d2c317c-9921-4df1-85be-1eed1189d85e,"  - Staro: advise customers on accessories to complement clothing
  + Novo: advise customers on clothing accessories "
http://data.europa.eu/esco/skill/a8d470b7-2f7e-4e40-aaf2-fc1c3cb2ebe3,  - Odstranjeno: operate in a specific field of nursing care
http://data.europa.eu/esco/skill/df0aa404-3f87-4f35-b6e9-969b05068704,  - Odstranjeno: be in touch with your body
http://data.europa.eu/esco/skill/8e602c80-2f39-498a-8cd7-eabaae742de4,"  - Staro: attend events
  + Novo: represent company in exhibitions"
http://data.europa.eu/esco/skill/d81b58ba-52e4-45fa-9f7c-f59b87fa6041,  + Dodano: domotic systems
http://data.europa.eu/esco/skill/3f0ff149-7726-4205-be63-3c48c5c7cac8,  - Odstranjeno: manage cash flow
http://data.europa.eu/esco/skill/dcf69ae9-a56e-4563-ad2c-c61dda8215f9,"  - Staro: provide preparation for childbirth
  + Novo: advise on childbirth"
http://data.europa.eu/esco/skill/cdaf66a1-eaf3-4fef-af6e-2e9bbe2c326c,  + Dodano: distributed ledger technologies vulnerabilities
http://data.europa.eu/esco/skill/c13fb093-5ffb-491a-b8b7-fa2d42a57e2e,  + Dodano: implement cloud security and compliance
http://data.europa.eu/esco/skill/16936223-285b-47e6-8c76-f60f26294c14,  - Odstranjeno: music therapy clinical practice
http://data.europa.eu/esco/skill/4b34864d-78a4-457e-8d91-0ab9296db890,"  - Staro: arrange parent teacher conference
  + Novo: arrange parent teacher meeting"
http://data.europa.eu/esco/skill/4f499e02-2983-40c5-a493-c720e6b03b23,  + Dodano: provide information on hydrogen
http://data.europa.eu/esco/skill/a4b2a278-2123-4450-8b43-be01c4f341da,  - Odstranjeno: safeguard online privacy and identity
http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,  + Dodano: interact professionally in research and professional environments
http://data.europa.eu/esco/skill/d0fc1d32-c64d-4b53-923f-953f648715ab,  + Dodano: carpooling services
http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,"  - Staro: cope with pressure
  + Novo: cope with stress"
http://data.europa.eu/esco/skill/d908a818-70ef-419e-9d60-8f459114cb2f,  - Odstranjeno: use e-services
http://data.europa.eu/esco/skill/ca1ec813-89b7-4c37-b465-1a70d0fba177,"  - Staro: tend cement transfer equipment
  + Novo: tend hoist cement transfer equipment"
http://data.europa.eu/esco/skill/4b43cc79-90b1-4f23-a2ce-cb3ea341e6d1,  + Dodano: advise on homologation procedure
http://data.europa.eu/esco/skill/91569912-10f1-4690-8e82-0b96c93e29ee,  - Odstranjeno: identify gemstones
http://data.europa.eu/esco/skill/6078e099-7696-44a5-b3c1-452b9abe886a,  + Dodano: production engineering
http://data.europa.eu/esco/skill/1b9899a4-5b50-44b0-a21a-e2f86c51ac5a,"  - Staro: screen fitness clients
  + Novo: assess physical conditions of clients"
http://data.europa.eu/esco/skill/7ac88283-80aa-4a1f-93f8-213cd2a469cb,  + Dodano: design offshore energy systems
http://data.europa.eu/esco/skill/40ee68b0-9f80-4607-9a2d-998385cc261f,"  - Staro: adapt lifestyle to perform at the highest level in sport
  + Novo: adapt lifestyle for sports performance"
http://data.europa.eu/esco/skill/97e077b3-c517-4cd9-9486-0818b1da6a90,  + Dodano: experimental psychology
http://data.europa.eu/esco/skill/72f9d741-7696-43d2-bccb-d46f9463eecb,"  - Staro: arrange books in classification order
  + Novo: classify books"
http://data.europa.eu/esco/skill/a0cd5d35-a1f4-48bf-b78f-11faf4f1935f,  + Dodano: proteomics
http://data.europa.eu/esco/skill/943d07ec-fb75-4bb5-bc07-20451a2b66e4,  - Odstranjeno: identify opportunities
http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,  + Dodano: appreciate diverse cultural and artistic expression
http://data.europa.eu/esco/skill/610ccf09-e9f2-4268-bb93-442dde5bf26e,  + Dodano: advise on offshore renewable energies subjects
http://data.europa.eu/esco/skill/5f1cfde7-344e-4e55-9190-627e82778673,"  - Staro: perform microbiological analysis in the food chain
  + Novo: perform microbiological analysis in food"
http://data.europa.eu/esco/skill/2636b3d3-843e-46a9-8b4c-a9d6ca3f5a2d,"  - Staro: provide documentation
  + Novo: provide technical documentation"
http://data.europa.eu/esco/skill/279101c1-e325-4349-bf58-401b6c8ff208,  - Odstranjeno: operate cash point
http://data.europa.eu/esco/skill/25605f81-d995-4b18-8244-aa91586d8a1e,"  - Staro: Manage lightering operation
  + Novo: manage the lightering operation"
http://data.europa.eu/esco/skill/2f4e1ff6-1191-4fd8-b1bf-043af19cec65,"  - Staro: perform sensory evaluation
  + Novo: perform sensory evaluation of food products"
http://data.europa.eu/esco/skill/d5c9c535-6539-4fc7-bada-e3169dcc445d,  + Dodano: food authentication techniques
http://data.europa.eu/esco/skill/fd4dc5dd-729e-4f6b-a348-77c591f8cb01,  - Odstranjeno: plan self-organisation
http://data.europa.eu/esco/skill/77fcea51-018b-45f1-8425-65e403d79b75,  - Odstranjeno: ensure positive relations within the artistic team
http://data.europa.eu/esco/skill/6e7f4c10-5ed9-4b95-81a2-f1465ee2d741,"  - Staro: maintain trails
  + Novo: maintain the trails"
http://data.europa.eu/esco/skill/1de91358-6ad3-4513-b975-396c61cf8858,  + Dodano: advise on fitted ventilation systems
http://data.europa.eu/esco/skill/b2d46eda-66ef-4b6b-87eb-b428e04391be,  - Odstranjeno: obtain concert funding
http://data.europa.eu/esco/skill/6b648b57-debd-4bf7-8524-48921596c855,  - Odstranjeno: catch poultry
http://data.europa.eu/esco/skill/5100aeb3-948d-4163-91ad-703a4116bdba,  + Dodano: commission evaluation 
http://data.europa.eu/esco/skill/94758266-bb0f-4e41-bedb-349ecacfaf5c,"  - Staro: maintain freight rate databases
  + Novo: create freight rate databases"
http://data.europa.eu/esco/skill/d5e78e67-0a38-4336-aef5-154af620bb74,  - Odstranjeno: conduct examination processes for apprentices
http://data.europa.eu/esco/skill/96aa1a61-7c1e-4dba-a468-4bffa78f939d,  - Odstranjeno: handle timber-based products
http://data.europa.eu/esco/skill/a602a97f-dd21-4c24-894c-cee1d37f5407,  - Odstranjeno: guide others
http://data.europa.eu/esco/skill/f3880260-ef21-401c-a64f-a96f21dc968a,  + Dodano: last types
http://data.europa.eu/esco/skill/8efa6a7a-6556-4cb8-908d-59d3b5c58d2f,  + Dodano: cloud monitoring and reporting
http://data.europa.eu/esco/skill/8f585def-6ade-41b3-b897-3d71fba4151d,  + Dodano: alternative energy
http://data.europa.eu/esco/skill/3f8d4e8f-17cc-4447-9325-fcfe4306c238,  - Odstranjeno: describe your artistic aspirations in relation to artistic trends
http://data.europa.eu/esco/skill/6195c5f7-a4fb-425d-a3dd-c4467c4471a3,  + Dodano: deploy cloud resource
http://data.europa.eu/esco/skill/ebed12be-5b84-4962-a4bb-9ef569fa2661,"  - Staro: mechanical mine machinery manuals
  + Novo: interpret mechanical mine machinery manuals"
http://data.europa.eu/esco/skill/4df7a57a-9405-4995-8e02-4ca404832247,  + Dodano: manage project changes
http://data.europa.eu/esco/skill/486df8bc-3498-43ad-83b6-dc8a4a3b16c6,"  - Staro: work in partnership with social services users
  + Novo: provide support to social services users"
http://data.europa.eu/esco/skill/06fa9997-1720-45e8-a0cf-ee3060049f8b,  - Odstranjeno: alter management
http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6,  + Dodano: apply for research funding
http://data.europa.eu/esco/skill/ce4cbc3a-bde0-43b4-9526-e643c4fe5b04,"  - Staro: get involved in the day-to-day operation of the company
  + Novo: collaborate in company's daily operations "
http://data.europa.eu/esco/skill/3a4eeab2-15d9-4bbc-99e2-c1c8e8f4f225,  - Odstranjeno: liaise with relevant agencies involved in airfield management
http://data.europa.eu/esco/skill/f9bbab67-c475-48ee-9b8b-547d69f90c60,  - Odstranjeno: treat medical conditions with art therapy
http://data.europa.eu/esco/skill/aadf267e-08f0-4bf3-ae4a-f1670b8e9e5d,  + Dodano: offshore renewable energy technologies
http://data.europa.eu/esco/skill/a4557e97-d7f9-4669-88b0-c57591acce80,  + Dodano: solid mechanics
http://data.europa.eu/esco/skill/4a901e05-5bc4-45d1-8f52-dbf48c555bdd,  - Odstranjeno: take care of personal appearance
http://data.europa.eu/esco/skill/4e61277c-5c6e-4a63-be5d-bfbe601b147c,  + Dodano: advise on eligibility of expenditures
http://data.europa.eu/esco/skill/4e72c768-9a52-42ba-8692-09ec7f120c4c,"  - Staro: prepare inventory reports
  + Novo: prepare aquatic inventory reports"
http://data.europa.eu/esco/skill/54173a92-b781-4a3f-880b-70fa3a375417,  - Odstranjeno: work analytically
http://data.europa.eu/esco/skill/a265b3b4-df14-432b-97c7-3d2db3ba6039,  + Dodano: empower young people
http://data.europa.eu/esco/skill/59429f7f-8b95-4094-b1cf-97cbb556f03d,  + Dodano: participatory decision-making
http://data.europa.eu/esco/skill/473a8b64-a05c-4d49-962d-b9d9219950bc,"  - Staro: understand supply chain improvements in relation to profit gains
  + Novo: analyse relation between supply chain improvement and profit"
http://data.europa.eu/esco/skill/e121d5f2-4633-4c50-a349-a622b2a05f27,"  - Staro: liaise with railway stakeholders in relation to accident investigations
  + Novo: liaise with railway stakeholders for accident investigations"
http://data.europa.eu/esco/skill/86c8482c-776b-43b5-a01c-956601069cfe,"  - Staro: confer on artwork
  + Novo: discuss artwork"
http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,  + Dodano: maintain psychological well-being
http://data.europa.eu/esco/skill/142f3f7f-f15f-412e-a5fe-f75755b5dbe0,  - Odstranjeno: materials science
http://data.europa.eu/esco/skill/5e80353d-53ed-4e64-a5ff-0e3ec52156fa,"  - Staro: direct logistical functions for product life cycles
  + Novo: direct logistical functions"
http://data.europa.eu/esco/skill/18f36e41-209a-4691-8381-e830eddbaae1,"  - Staro: manage chemical reagents
  + Novo: organize chemical reagents"
http://data.europa.eu/esco/skill/5ad75e18-5d5d-496e-9f97-ffb2adbb8d16,  - Odstranjeno: familiarise yourself with the work to be remounted
http://data.europa.eu/esco/skill/d846661e-04b8-4b30-8b6b-f3525799fd3a,  + Dodano: community-led local development
